Iteration,Best Distance
1,3203.23
2,3203.23
3,2859.01
4,2656.99
5,2656.99
6,2656.99
7,2656.99
8,2656.99
9,2656.99
10,2656.99
11,2656.99
12,2656.99
13,2656.99
14,2656.99
15,2656.99
16,2656.99
17,2656.99
18,2656.99
19,2656.99
20,2656.99
21,2656.99
22,2656.99
23,2656.99
24,2656.99
25,2656.99
26,2656.99
27,2656.99
28,2656.99
29,2656.99
30,2656.99
31,2656.99
32,2656.99
33,2656.99
34,2656.99
35,2656.99
36,2656.99
37,2656.99
38,2656.99
39,2656.99
40,2656.99
41,2656.99
42,2656.99
43,2656.99
44,2656.99
45,2656.99
46,2656.99
47,2656.99
48,2656.99
49,2656.99
50,2656.99
51,2656.99
52,2656.99
53,2656.99
54,2656.99
55,2656.99
56,2656.99
57,2656.99
58,2656.99
59,2656.99
60,2656.99
61,2656.99
62,2656.99
63,2656.99
64,2656.99
65,2656.99
66,2656.99
67,2656.99
68,2656.99
69,2656.99
70,2656.99
71,2656.99
72,2656.99
73,2656.99
74,2656.99
75,2656.99
76,2656.99
77,2656.99
78,2656.99
79,2656.99
80,2656.99
81,2656.99
82,2656.99
83,2656.99
84,2656.99
85,2656.99
86,2656.99
87,2656.99
88,2656.99
89,2656.99
90,2656.99
91,2656.99
92,2656.99
93,2656.99
94,2656.99
95,2656.99
96,2656.99
97,2656.99
98,2656.99
99,2656.99
100,2656.99
101,2656.99
102,2656.99
103,2656.99
104,2656.99
105,2656.99
106,2656.99
107,2656.99
108,2656.99
109,2656.99
110,2656.99
111,2656.99
112,2656.99
113,2656.99
114,2656.99
115,2656.99
116,2656.99
117,2656.99
118,2656.99
119,2656.99
120,2656.99
121,2656.99
122,2656.99
123,2656.99
124,2656.99
125,2656.99
126,2656.99
127,2656.99
128,2656.99
129,2656.99
130,2656.99
131,2656.99
132,2656.99
133,2656.99
134,2656.99
135,2656.99
136,2656.99
137,2656.99
138,2656.99
139,2656.99
140,2656.99
141,2656.99
142,2656.99
143,2656.99
144,2656.99
145,2656.99
146,2656.99
147,2656.99
148,2656.99
149,2656.99
150,2656.99
151,2656.99
152,2656.99
153,2656.99
154,2656.99
155,2656.99
156,2656.99
157,2656.99
158,2656.99
159,2656.99
160,2656.99
161,2656.99
162,2656.99
163,2656.99
164,2656.99
165,2656.99
166,2656.99
167,2656.99
168,2656.99
169,2656.99
170,2656.99
171,2656.99
172,2656.99
173,2656.99
174,2656.99
175,2656.99
176,2656.99
177,2656.99
178,2656.99
179,2656.99
180,2656.99
181,2656.99
182,2656.99
183,2656.99
184,2656.99
185,2656.99
186,2656.99
187,2656.99
188,2656.99
189,2656.99
190,2656.99
191,2656.99
192,2656.99
193,2656.99
194,2656.99
195,2656.99
196,2656.99
197,2656.99
198,2656.99
199,2656.99
200,2656.99
201,2656.99
202,2656.99
203,2656.99
204,2656.99
205,2656.99
206,2656.99
207,2656.99
208,2656.99
209,2656.99
210,2656.99
211,2656.99
212,2656.99
213,2656.99
214,2656.99
215,2656.99
216,2656.99
217,2656.99
218,2656.99
219,2656.99
220,2656.99
221,2656.99
222,2656.99
223,2656.99
224,2656.99
225,2656.99
226,2656.99
227,2656.99
228,2656.99
229,2656.99
230,2656.99
231,2656.99
232,2656.99
233,2656.99
234,2656.99
235,2656.99
236,2656.99
237,2656.99
238,2656.99
239,2656.99
240,2656.99
241,2656.99
242,2656.99
243,2656.99
244,2656.99
245,2656.99
246,2656.99
247,2656.99
248,2656.99
249,2656.99
250,2656.99
251,2656.99
252,2656.99
253,2656.99
254,2656.99
255,2656.99
256,2656.99
257,2656.99
258,2656.99
259,2656.99
260,2656.99
261,2656.99
262,2656.99
263,2656.99
264,2656.99
265,2656.99
266,2656.99
267,2656.99
268,2656.99
269,2656.99
270,2656.99
271,2656.99
272,2656.99
273,2656.99
274,2656.99
275,2656.99
276,2656.99
277,2656.99
278,2656.99
279,2656.99
280,2656.99
281,2656.99
282,2656.99
283,2656.99
284,2656.99
285,2656.99
286,2656.99
287,2656.99
288,2656.99
289,2656.99
290,2656.99
291,2656.99
292,2656.99
293,2656.99
294,2656.99
295,2656.99
296,2656.99
297,2656.99
298,2656.99
299,2656.99
300,2656.99
301,2656.99
302,2656.99
303,2656.99
304,2656.99
305,2656.99
306,2656.99
307,2656.99
308,2656.99
309,2656.99
310,2656.99
311,2656.99
312,2656.99
313,2656.99
314,2656.99
315,2656.99
316,2656.99
317,2656.99
318,2656.99
319,2656.99
320,2656.99
321,2656.99
322,2656.99
323,2656.99
324,2656.99
325,2656.99
326,2656.99
327,2656.99
328,2656.99
329,2656.99
330,2656.99
331,2656.99
332,2656.99
333,2656.99
334,2656.99
335,2656.99
336,2656.99
337,2656.99
338,2656.99
339,2656.99
340,2656.99
341,2656.99
342,2656.99
343,2656.99
344,2656.99
345,2656.99
346,2656.99
347,2656.99
348,2656.99
