Iteration,Moth 1 Distance,Moth 2 Distance,Moth 3 Distance,Moth 4 Distance,Moth 5 Distance,Moth 6 Distance,Moth 7 Distance,Moth 8 Distance,Moth 9 Distance,Moth 10 Distance,Moth 11 Distance,Moth 12 Distance,Moth 13 Distance,Moth 14 Distance,Moth 15 Distance,Moth 16 Distance,Moth 17 Distance,Moth 18 Distance
1,3343.37,3907.87,4116.06,4213.35,4400.94,3006.33,3869.13,3545.33,3623.49,4302.3,3415.3,3203.23,4016.44,3343.37,4071.1,4213.35,3623.49,4205.01
2,3343.37,3338.13,4116.06,4213.35,3861.93,3006.33,3868.15,3545.33,3869.07,3854.69,3868.15,2859.01,3868.09,3343.37,4071.1,4213.35,3869.07,4205.01
3,3343.37,3338.13,4116.06,4302.3,3854.69,2903.97,3659.9,2999.09,3869.07,3854.69,3415.3,2859.01,3868.09,3343.37,4071.1,4400.94,3869.07,4302.3
4,3343.37,3338.13,4116.06,3292.19,3861.93,3728.01,3868.09,2999.09,3869.07,3861.93,3868.15,2859.01,3868.09,3343.37,4071.1,3531.94,3869.07,3869.13
5,3868.09,3338.13,3759.52,4056.66,3292.19,2903.97,3868.09,2999.09,3869.07,4205.01,3868.15,2859.01,3868.09,3098.7,4071.1,4205.01,3869.07,3869.13
6,3343.37,3338.13,3759.52,3854.69,2858.95,3728.01,3098.7,2999.09,3446.7,3861.93,3868.15,2859.01,3098.7,3098.7,4116.06,3563.59,3446.7,3869.13
7,3343.37,2656.99,4116.06,3226.73,2858.95,2903.97,3098.7,3446.7,3446.7,4400.94,3868.15,2859.01,3098.7,3098.7,3563.59,4116.06,3446.7,3869.13
8,3868.09,2656.99,3545.33,3854.69,3098.7,3728.01,3868.09,3674.34,3674.34,4213.35,3415.3,3415.3,3868.09,3343.37,3563.59,4016.44,3674.34,3868.15
9,4016.44,2656.99,3680.23,3854.69,3868.09,3728.01,4056.66,3674.34,3674.34,3344.35,2859.01,3623.49,3869.07,2903.97,3563.59,3103.62,3674.34,3201.12
10,4016.44,2656.99,4102.66,4056.66,3868.09,3728.01,3868.09,3674.34,3674.34,3660.88,3415.3,3428.7,3869.07,3728.01,4116.06,4016.44,3674.34,3868.15
11,3007.3,2656.99,4102.66,3292.19,4016.44,3714.56,4167.41,3446.7,3446.7,3674.34,3415.3,3428.7,3869.13,4071.1,3563.59,3103.62,3446.7,3868.15
12,3563.59,2656.99,3680.23,4302.3,4347.26,3714.56,4167.41,2999.09,2999.09,3907.87,3714.56,3623.49,4302.3,4071.1,3007.3,3103.62,3500.37,3343.37
13,3563.59,2656.99,3545.33,4302.3,4016.44,3500.37,3868.15,2656.99,2656.99,4347.26,2992.87,3967.77,4302.3,3007.3,3007.3,3103.62,3545.33,2903.97
14,3007.3,2656.99,3545.33,3660.88,3103.62,4071.1,3415.3,2656.99,2656.99,4347.26,3714.56,2859.01,3854.69,3007.3,3007.3,4016.44,3545.33,3247.06
15,3007.3,2656.99,2999.09,3660.88,4016.44,3569.81,3415.3,2656.99,2656.99,3659.9,3714.56,3967.77,3854.69,3007.3,3007.3,3103.62,3765.74,4205.01
16,2858.95,2656.99,2999.09,2890.52,3868.09,3900.63,3868.15,2656.99,2656.99,4347.26,2992.87,3868.15,3226.73,2858.95,3563.59,4167.41,3765.74,3247.06
17,2858.95,2656.99,2999.09,2903.97,3868.09,2656.99,3415.3,2656.99,2656.99,4347.26,3563.59,3659.9,3854.69,2858.95,4116.06,4167.41,3967.77,3247.06
18,2858.95,2656.99,2999.09,2903.97,3098.7,2656.99,3415.3,2656.99,2656.99,3343.37,4205.01,3868.15,3900.63,2858.95,3967.77,4401.92,2859.01,3344.35
19,2858.95,2656.99,3545.33,3226.73,3098.7,2656.99,3563.59,2656.99,2656.99,3343.37,3531.94,3868.15,3338.13,2858.95,3203.23,4401.92,2859.01,3344.35
20,3292.19,2656.99,2999.09,3428.7,3098.7,2656.99,3759.52,2656.99,2656.99,4347.26,4400.94,3869.13,3338.13,3292.19,3203.23,4071.1,2859.01,2890.52
21,3292.19,2656.99,2992.87,3428.7,3868.09,2656.99,3765.74,2656.99,2656.99,3680.23,3545.33,3674.34,3203.23,3292.19,3103.62,3569.81,2859.01,3344.35
22,3531.94,2656.99,3714.56,3623.49,3868.09,2656.99,3900.63,2656.99,2656.99,4102.66,4400.94,3674.34,2859.01,3531.94,3103.62,3569.81,3967.77,3344.35
23,3531.94,2656.99,4401.92,3623.49,3098.7,2656.99,2656.99,2656.99,2656.99,3680.23,3759.52,3446.7,3203.23,3531.94,3007.3,3247.06,4116.06,2890.52
24,3854.69,2656.99,4401.92,3967.77,3398.02,2656.99,2656.99,2656.99,2656.99,3338.13,4400.94,3674.34,2859.01,4400.94,2858.95,3569.81,3759.52,3344.35
25,3531.94,2656.99,4401.92,3967.77,3398.02,2656.99,2656.99,2656.99,2656.99,3338.13,4400.94,3674.34,3007.3,4400.94,2858.95,3569.81,4116.06,2890.52
26,4205.01,2656.99,4102.6,3967.77,2903.97,2656.99,2656.99,2656.99,2656.99,2656.99,4213.35,3446.7,2859.01,4213.35,2858.95,4071.1,3759.52,3098.7
27,3563.59,2656.99,3907.87,3967.77,3398.02,2656.99,2656.99,2656.99,2656.99,2656.99,4400.94,2999.09,2859.01,4400.94,2858.95,4071.1,4116.06,3098.7
28,4116.06,2656.99,3907.87,3967.77,3500.37,2656.99,2656.99,2656.99,2656.99,2656.99,3967.77,3545.33,2859.01,3545.33,3007.3,4071.1,3967.77,3868.09
29,3563.59,2656.99,3907.87,3967.77,3500.37,2656.99,2656.99,2656.99,2656.99,2656.99,3967.77,2999.09,3201.12,2999.09,3007.3,4071.1,3967.77,3868.09
30,3563.59,2656.99,3907.87,3967.77,4071.1,2656.99,2656.99,2656.99,2656.99,2656.99,3967.77,3446.7,3201.12,3446.7,3103.62,3728.01,3967.77,3868.09
31,4205.01,2656.99,3907.87,3967.77,3569.81,2656.99,2656.99,2656.99,2656.99,2656.99,3967.77,3446.7,4102.66,3446.7,3203.23,3428.7,3967.77,3868.09
32,3531.94,2656.99,3861.93,3203.23,3569.81,2656.99,2656.99,2656.99,2656.99,2656.99,2859.01,3344.35,3907.87,3344.35,3967.77,3907.87,2859.01,3868.09
33,4400.94,2656.99,4205.01,3967.77,4071.1,2656.99,2656.99,2656.99,2656.99,2656.99,2859.01,3344.35,4102.6,3344.35,3623.49,3428.7,2859.01,3868.09
34,4213.35,2656.99,4302.3,3765.74,3569.81,2656.99,2656.99,2656.99,2656.99,2656.99,2859.01,3446.7,3907.87,3446.7,3869.13,3907.87,2859.01,3098.7
35,4213.35,2656.99,4213.35,3226.73,2999.09,2656.99,2656.99,2656.99,2656.99,2656.99,3967.77,4302.3,4347.26,4302.3,3623.49,3861.93,3967.77,3098.7
36,4116.06,2656.99,3344.35,3861.93,3854.69,2656.99,2656.99,2656.99,2656.99,2656.99,4400.94,3446.7,3907.87,3446.7,3869.13,3861.93,4116.06,3868.09
37,3563.59,2656.99,2890.52,3226.73,3861.93,2656.99,2656.99,2656.99,2656.99,2656.99,4400.94,3674.34,3674.34,3674.34,3868.15,3854.69,3759.52,3098.7
38,3007.3,2656.99,2890.52,3226.73,3907.87,2656.99,2656.99,2656.99,2656.99,2656.99,3545.33,3869.13,3226.73,3869.13,3868.15,3854.69,3765.74,3868.09
39,3563.59,2656.99,3415.3,3569.81,3907.87,2656.99,2656.99,2656.99,2656.99,2656.99,3545.33,3674.34,3674.34,3674.34,3659.9,3861.93,3759.52,3098.7
40,3569.81,2656.99,3659.9,3720.78,4347.26,2656.99,2656.99,2656.99,2656.99,2656.99,3545.33,4213.35,3728.01,4213.35,3868.15,3861.93,3759.52,2890.52
